CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"16,670","-5,198","51,690",-,573.75,-10.20,"2,575",570.00,572.90,25,"24,000.00","14,475",6.50,6.70,"1,325",-11.70,6.70,15.99,"15,60,231","62,206","2,33,874",
,"5,499",-436,"1,972",-,522.90,-14.20,25,522.90,526.20,250,"24,050.00",275,7.65,7.85,150,-13.95,7.65,15.29,"6,44,219","19,369","46,974",
,"17,105","-2,932","30,839",-,478.45,-12.40,125,475.00,478.85,50,"24,100.00","1,275",9.90,10.20,775,-15.05,10.20,15.09,"10,89,866","25,087","1,27,090",
,"13,190",-569,"15,625",-,429.30,-15.00,"2,350",411.05,431.70,25,"24,150.00",25,12.80,13.10,"2,350",-17.30,12.80,14.67,"5,65,097","6,621","47,682",
,"24,186","-11,068","80,626",-,387.55,-12.60,375,382.00,385.75,25,"24,200.00","1,375",17.00,17.20,"2,575",-18.60,17.20,14.53,"14,39,704","29,666","1,60,467",
,"19,505","2,175","49,312",-,339.75,-19.10,150,336.05,340.25,350,"24,250.00",100,22.10,22.45,50,-20.75,22.10,14.23,"7,21,201","16,689","64,549",
,"46,543","-11,664","2,41,668",8.08,296.45,-19.75,"1,050",294.00,297.00,125,"24,300.00",25,28.40,28.95,"1,000",-22.65,28.20,13.91,"16,88,127","11,881","1,51,944",
,"20,286",282,"1,16,698",8.85,252.85,-24.70,100,251.45,254.30,50,"24,350.00",300,37.30,38.00,"1,325",-23.15,37.40,13.83,"10,34,431","10,952","87,320",
,"54,997","-22,521","5,93,028",10.02,216.40,-22.00,75,215.00,216.80,100,"24,400.00",275,48.20,48.90,"1,000",-24.80,48.40,13.68,"20,21,494","-15,876","1,39,159",
,"18,103","-7,632","3,91,844",9.95,177.30,-25.75,25,176.80,180.00,400,"24,450.00",400,62.00,63.00,"3,400",-25.00,62.00,13.56,"11,80,614","-4,341","49,644",
,"1,26,788","-10,290","23,55,086",10.22,144.50,-25.50,25,144.20,146.00,900,"24,500.00",25,78.30,79.00,175,-25.70,79.00,13.50,"35,22,761","26,329","2,02,990",
,"63,351","8,813","24,15,441",10.59,117.00,-23.85,100,115.25,117.00,800,"24,550.00","1,000",98.40,100.00,50,-25.30,98.70,13.39,"26,56,706","18,892","54,158",
,"2,11,149","1,14,880","53,29,469",10.62,90.85,-23.10,425,90.15,91.00,"1,250","24,600.00",400,123.10,124.90,50,-22.10,124.35,13.58,"39,99,715","70,693","1,07,126",
,"87,246","52,777","20,24,255",10.66,69.00,-20.95,25,68.15,69.00,"1,300","24,650.00",25,150.45,153.00,750,-22.30,151.00,13.52,"10,77,685","11,330","24,077",
,"1,33,540","38,692","26,07,240",10.68,51.00,-18.60,250,50.10,50.90,225,"24,700.00",100,181.80,185.00,125,-22.40,180.00,13.35,"9,25,885","-1,624","21,209",
,"1,14,577","64,114","13,35,579",10.57,35.80,-16.60,"1,600",35.80,36.25,25,"24,750.00",100,217.40,220.80,250,-15.40,218.60,13.98,"2,41,042","10,519","16,074",
,"1,76,373","32,966","22,65,580",10.60,25.00,-13.65,250,25.00,25.45,"1,375","24,800.00",100,256.50,259.75,225,-14.45,257.30,14.35,"2,97,860","7,768","20,477",
,"83,801","19,872","12,29,643",10.62,16.95,-10.85,25,16.85,17.00,350,"24,850.00",75,298.25,300.65,250,-13.45,299.15,14.89,"55,602","2,941","5,121",
,"1,50,903","3,698","15,46,157",10.71,11.45,-8.15,"1,000",11.15,11.45,"28,725","24,900.00",75,342.25,346.50,375,-7.60,343.75,15.64,"42,992","2,064","5,047",
,"1,52,654","53,325","9,73,067",10.88,7.80,-5.95,600,7.50,7.75,"1,000","24,950.00",75,375.00,393.75,125,-4.10,392.35,16.93,"7,198",271,951,
,"3,66,958","75,830","19,79,769",11.15,5.50,-4.10,"2,125",5.40,5.50,350,"25,000.00",800,438.00,440.00,25,-4.15,438.00,17.61,"41,215","-2,411","7,697",
,"74,673","33,379","7,84,381",11.33,3.70,-3.00,"5,050",3.70,3.80,700,"25,050.00",25,484.45,489.50,300,0.70,488.00,19.02,"2,476",-29,473,
,"1,25,242","40,529","9,24,005",11.64,2.65,-2.35,"17,875",2.65,2.85,"8,150","25,100.00",50,534.00,538.45,250,-5.25,534.40,19.64,"2,968",7,489,
,"45,347","27,828","3,73,378",12.22,2.20,-1.45,250,2.10,2.20,"5,100","25,150.00",650,577.80,588.70,525,0.55,587.40,21.63,217,8,98,
,"1,56,122","59,071","8,58,720",12.69,1.75,-1.05,"12,000",1.60,1.75,"3,475","25,200.00",50,630.25,634.00,"1,200",6.10,635.00,22.42,"1,517",60,955,
